name,description,serving_size,calories,protein,carbs,fats,sugar,date,protein_per_calorie,calories_per_protein
Hot & Spicy Tofu,,3/4 cup,150,11,16,6,8,2025-11-19,,
Thinly Sliced Deli Turkey Breast,,3 ounce,90,11,3,0,0,2025-11-19,,
2% Greek Plain Yogurt,,1/2 cup,90,11,5,0,5,2025-11-19,,
Cottage Cheese,,1/2 cup,80,14,3,1,3,2025-11-19,,
Thinly Sliced Smoked Ham,,3 ounce,110,15,1,0,1,2025-11-19,,
FIT Tuna Salad,,1/2 cup,100,17,2,0,0,2025-11-19,,
Grilled Chicken Thigh,,3 ounce,170,20,0,9,0,2025-11-19,,
Chicken Tender Basket,,1 each,570,24,58,28,3,2025-11-19,,
Chicken Salad,,5 oz portion,200,28,3,9,0,2025-11-19,,
Cajun Chicken Penne,,8 oz portion,660,31,79,25,2,2025-11-19,,
Texas Style BBQ'd Brisket,,4 oz portion,320,32,0,20,0,2025-11-19,,
Veggie Power Bowl,,1 plate,0,0,0,0,0,2025-11-19,0.0,0.0
Chimichurri Sauce,,2 floz,170,0,3,18,0,2025-11-19,0.0,170.0
Julienne Yellow Onions,,1/4 cup,10,0,3,0,1,2025-11-19,0.0,10.0
Sliced Mushrooms,,1/4 cup,0,0,0,0,0,2025-11-19,0.0,0.0
Sliced Green Bell Pepper,,1/4 cup,0,0,1,0,0,2025-11-19,0.0,0.0
Shredded Carrots,,1/4 cup,10,0,3,0,1,2025-11-19,0.0,10.0
Baby Spinach,,1/4 cup,0,0,0,0,0,2025-11-19,0.0,0.0
Fresh Thai Basil,,1 tbsp,0,0,0,0,0,2025-11-19,0.0,0.0
Chopped Green Onions,,1 tbsp,0,0,0,0,0,2025-11-19,0.0,0.0
Grated Ginger Root,,1 tsp,0,0,0,0,0,2025-11-19,0.0,0.0
Fresh Chopped Garlic,,1 tsp,0,0,0,0,0,2025-11-19,0.0,0.0
General Tso's Sauce,,1 floz,60,0,16,0,14,2025-11-19,0.0,60.0
Sesame Seed Mix,,1/2 tsp,10,0,0,1,0,2025-11-19,0.0,10.0
Crushed Red Pepper,,1/2 tsp,0,0,0,0,0,2025-11-19,0.0,0.0
Grilled Zucchini & Squash,,1/2 cup,10,0,2,0,2,2025-11-19,0.0,10.0
Lettuce Leaf,,1 each,0,0,0,0,0,2025-11-19,0.0,0.0
Sliced Tomatoes,,1 slice,0,0,0,0,0,2025-11-19,0.0,0.0
Sliced Red Onion,,1/4 cup,10,0,3,0,1,2025-11-19,0.0,10.0
Dill Pickle Slices,,4 each,0,0,0,0,0,2025-11-19,0.0,0.0
Dill Pickle Slices,,2 each,0,0,0,0,0,2025-11-19,0.0,0.0
Lettuce Leaf,,1 each,0,0,0,0,0,2025-11-19,0.0,0.0
Sliced Tomatoes,,2 slice,0,0,1,0,0,2025-11-19,0.0,0.0
Sliced Red Onion,,1 slice,5,0,1,0,0,2025-11-19,0.0,5.0
Sliced Banana Peppers,,1 ounce,0,0,0,0,0,2025-11-19,0.0,0.0
Sliced Cucumber,,1/4 cup,0,0,0,0,0,2025-11-19,0.0,0.0
Sliced Green Bell Pepper,,1/4 cup,0,0,1,0,0,2025-11-19,0.0,0.0
Pesto Mayo,,1 oz portion,180,0,0,20,0,2025-11-19,0.0,180.0
Horseradish Mayo,,2 tbsp,110,0,3,11,0,2025-11-19,0.0,110.0
Diced Onions,,1/4 cup,15,0,4,0,2,2025-11-19,0.0,15.0
Diced Tomatoes,,1 ounce,5,0,1,0,0,2025-11-19,0.0,5.0
Red Pepper Sticks,,1/2 cup,20,0,4,0,3,2025-11-19,0.0,20.0
Chopped Spinach,,1/4 cup,0,0,0,0,0,2025-11-19,0.0,0.0
Grated Parmesan Cheese,,1 tsp,10,0,0,0,0,2025-11-19,0.0,10.0
Crushed Red Pepper,,1/8 tsp,0,0,0,0,0,2025-11-19,0.0,0.0
Dried Oregano,,1 tsp,0,0,0,0,0,2025-11-19,0.0,0.0
Fresh Chopped Garlic,,1 tbsp,15,0,3,0,0,2025-11-19,0.0,15.0
Chopped Romaine Lettuce,,1 cup,10,0,2,0,0,2025-11-19,0.0,10.0
Baby Spinach,,1/4 cup,0,0,0,0,0,2025-11-19,0.0,0.0
Shredded Carrots,,1/4 cup,10,0,3,0,1,2025-11-19,0.0,10.0
Sliced Cucumber,,1/4 cup,0,0,0,0,0,2025-11-19,0.0,0.0
Grape Tomatoes,,1/4 cup,5,0,1,0,0,2025-11-19,0.0,5.0
Sliced Red Onion,,1/4 cup,10,0,3,0,1,2025-11-19,0.0,10.0
Pickled Beets,,1/2 cup,25,0,5,0,0,2025-11-19,0.0,25.0
Sliced Green Bell Pepper,,1/4 cup,0,0,1,0,0,2025-11-19,0.0,0.0
Sliced Black Olives,,1/4 cup,40,0,2,4,0,2025-11-19,0.0,40.0
Dried Cranberries,,1 tbsp,30,0,8,0,7,2025-11-19,0.0,30.0
Homestyle Ranch Dressing,,1 floz,100,0,0,11,0,2025-11-19,0.0,100.0
Balsamic Vinaigrette Dressing,,1 floz,60,0,5,5,4,2025-11-19,0.0,60.0
Dijon Honey Dressing,,1 floz,130,0,7,12,6,2025-11-19,0.0,130.0
French Dressing,,1 floz,120,0,5,11,5,2025-11-19,0.0,120.0
Fat Free Italian Dressing,,1 floz,15,0,3,0,2,2025-11-19,0.0,15.0
Olive Oil,,1 floz,240,0,0,27,0,2025-11-19,0.0,240.0
Red Wine Vinegar,,1 floz,5,0,0,0,0,2025-11-19,0.0,5.0
Crushed Red Pepper,,1 tsp,5,0,1,0,0,2025-11-19,0.0,5.0
Dried Oregano,,1 tsp,0,0,0,0,0,2025-11-19,0.0,0.0
Grated Parmesan Cheese,,1 tsp,10,0,0,0,0,2025-11-19,0.0,10.0
Cubed Pineapple,,1/4 cup,20,0,5,0,4,2025-11-19,0.0,20.0
Cubed Cantaloupe,,1/4 cup,15,0,3,0,3,2025-11-19,0.0,15.0
Cubed Honeydew,,1/4 cup,15,0,4,0,3,2025-11-19,0.0,15.0
Red Grapes,,1/2 cup,50,0,14,0,12,2025-11-19,0.0,50.0
Cream Cheese,,1 tbsp,50,0,0,5,0,2025-11-19,0.0,50.0
Strawberry Jelly Preserves,,1 tbsp,50,0,13,0,12,2025-11-19,0.0,50.0
Grape Jelly,,1 tbsp,50,0,13,0,12,2025-11-19,0.0,50.0
"Crackers, Saltine, 2 CT, Zesta",,1 each,25,0,5,0,0,2025-11-19,0.0,25.0
Sweet and Sour Sauce,,1 floz,40,1,8,0,7,2025-11-19,0.025,40.0
Gluten Free Soy Sauce,,1 floz,20,1,4,0,2,2025-11-19,0.05,20.0
Tater Tots,,1/2 cup,210,1,18,15,0,2025-11-19,0.0047619047619047,210.0
Classic Caesar Dressing,,1 floz,150,1,0,16,0,2025-11-19,0.0066666666666666,150.0
Low-Fat Blueberry Yogurt,,1/4 cup,35,1,7,0,5,2025-11-19,0.0285714285714285,35.0
Vegan Chocolate Chip Cookies,,1 each,130,1,15,8,7,2025-11-19,0.0076923076923076,130.0
Blackened Sweet Potato,,4 ounce,130,2,21,5,7,2025-11-19,0.0153846153846153,65.0
"Mushrooms, Tomatoes and Spinach",,1/2 cup,50,2,5,0,2,2025-11-19,0.04,25.0
Mr. Bing Chili Crisp Spicy,,1 tbsp,90,2,6,9,0,2025-11-19,0.0222222222222222,45.0
Pesto Alfredo Sauce,,2 floz,120,2,3,11,2,2025-11-19,0.0166666666666666,60.0
Marinara Sauce,,1 ladle-4oz,70,2,14,0,9,2025-11-19,0.0285714285714285,35.0
Shredded Cheddar Cheese,,1 tbsp,30,2,0,0,0,2025-11-19,0.0666666666666666,15.0
Blanched Broccoli,,1/2 cup,25,2,5,0,1,2025-11-19,0.08,12.5
Blanched Cauliflower,,1/2 cup,25,2,5,0,2,2025-11-19,0.08,12.5
Cooked Red Quinoa,,1/4 cup,60,2,10,1,0,2025-11-19,0.0333333333333333,30.0
Croutons,,5 each,70,2,15,0,0,2025-11-19,0.0285714285714285,35.0
Roasted Sunflower Seeds,,1 tbsp,45,2,2,4,0,2025-11-19,0.0444444444444444,22.5
strawberry cream cheese,,2 tbsp,110,2,5,10,4,2025-11-19,0.0181818181818181,55.0
Chive Cream Cheese,,1 ounce,90,2,2,9,1,2025-11-19,0.0222222222222222,45.0
Caramel Walnut Brownies,,1 each,260,2,39,11,27,2025-11-19,0.0076923076923076,130.0
Oatmeal Raisin Cookie,,1 each,180,2,26,7,13,2025-11-19,0.0111111111111111,90.0
Peach Cobbler,,1/2 cup,310,2,51,12,37,2025-11-19,0.0064516129032258,155.0
Cilantro Hummus,,2 ounce,70,3,9,3,2,2025-11-19,0.0428571428571428,23.333333333333332
Jollof Rice,,1/2 cup,280,3,31,16,0,2025-11-19,0.0107142857142857,93.33333333333331
Jasmine Rice,,4 ounce,180,3,32,0,0,2025-11-19,0.0166666666666666,60.0
Sliced American Cheese,,1/2 ounce,50,3,0,0,0,2025-11-19,0.06,16.666666666666668
Hummus,,2 ounce,110,3,8,8,1,2025-11-19,0.0272727272727272,36.666666666666664
American Cheese Slice,,1 slice,50,3,0,0,0,2025-11-19,0.06,16.666666666666668
Cheddar Cheese Slice,,1 slice,60,3,0,0,0,2025-11-19,0.05,20.0
Whole Wheat Penne Pasta,,1/2 cup,80,3,15,1,0,2025-11-19,0.0375,26.666666666666668
Southwest Tortilla Soup,,8 floz,130,3,17,6,4,2025-11-19,0.023076923076923,43.333333333333336
Dinner Roll,,1 each,150,4,29,2,0,2025-11-19,0.0266666666666666,37.5
Rotini Pasta,,1/2 cup,110,4,21,0,0,2025-11-19,0.0363636363636363,27.5
Herb Roasted Mushrooms,,1/2 cup,70,4,4,5,0,2025-11-19,0.0571428571428571,17.5
"Peanut Butter, .75 oz, Jif",,1 each,120,4,5,10,2,2025-11-19,0.0333333333333333,30.0
Chocolate Cake with Chocolate Frosting,,1 slice,330,4,54,11,37,2025-11-19,0.0121212121212121,82.5
Chow Mein Noodles,,1 cup,220,5,30,8,0,2025-11-19,0.0227272727272727,44.0
Jalapeno Poppers,,3 each,330,5,29,23,3,2025-11-19,0.0151515151515151,66.0
White Bread,,2 slice,150,5,29,0,2,2025-11-19,0.0333333333333333,30.0
Sliced American Swiss Cheese,,1 slice,100,5,1,9,0,2025-11-19,0.05,20.0
Italian Meatballs,,1 ounce,70,5,2,0,0,2025-11-19,0.0714285714285714,14.0
Diced Ham,,1/4 cup,45,5,2,0,0,2025-11-19,0.1111111111111111,9.0
Cubed Tofu,,1/4 cup,50,5,1,3,0,2025-11-19,0.1,10.0
Hard Boiled Egg,,1 each,70,6,0,0,0,2025-11-19,0.0857142857142857,11.666666666666666
African Chickpea Stew,,8 floz,250,7,36,9,0,2025-11-19,0.028,35.714285714285715
Stir Fry Marinated Tofu,,3 ounce,70,7,2,5,0,2025-11-19,0.1,10.0
"Chickpeas, Spinach, Roasted Tomatoes",,1/2 cup,160,8,24,4,5,2025-11-19,0.05,20.0
"12"" Flour Tortilla",,1 each,290,8,48,8,1,2025-11-19,0.0275862068965517,36.25
Multigrain Bread,,2 slice,280,8,52,4,8,2025-11-19,0.0285714285714285,35.0
Whole Wheat Bread,,2 slice,140,8,26,1,0,2025-11-19,0.0571428571428571,17.5
Herb Marinated Black Beans,,1/2 cup,130,8,22,2,0,2025-11-19,0.0615384615384615,16.25
Cheese Pizza,,1 slice,200,8,29,5,2,2025-11-19,0.04,25.0
Lemon Orzo,,1/2 cup,230,8,44,3,2,2025-11-19,0.0347826086956521,28.75
Pepperoni Pizza,,1 slice,210,9,29,7,0,2025-11-19,0.0428571428571428,23.333333333333332
Grilled Veggie Pizza,,1 slice,220,10,34,5,3,2025-11-19,0.0454545454545454,22.0
Hot & Spicy Tofu,,3/4 cup,150,11,16,6,8,2025-11-19,0.0733333333333333,13.636363636363637
Thinly Sliced Deli Turkey Breast,,3 ounce,90,11,3,0,0,2025-11-19,0.1222222222222222,8.181818181818182
2% Greek Plain Yogurt,,1/2 cup,90,11,5,0,5,2025-11-19,0.1222222222222222,8.181818181818182
Veggie Power Bowl,,1 each,410,13,55,17,4,2025-11-19,0.0317073170731707,31.53846153846154
Cottage Cheese,,1/2 cup,80,14,3,1,3,2025-11-19,0.175,5.714285714285714
Thinly Sliced Smoked Ham,,3 ounce,110,15,1,0,1,2025-11-19,0.1363636363636363,7.333333333333333
FIT Tuna Salad,,1/2 cup,100,17,2,0,0,2025-11-19,0.17,5.882352941176471
Grilled Chicken Thigh,,3 ounce,170,20,0,9,0,2025-11-19,0.1176470588235294,8.5
Chicken Tender Basket,,1 each,570,24,58,28,3,2025-11-19,0.0421052631578947,23.75
Chicken and Apricot Tagine,,6 ounce,290,25,25,10,0,2025-11-19,0.0862068965517241,11.6
Hoisin Glazed Beef,,4 oz meat,300,25,6,18,5,2025-11-19,0.0833333333333333,12.0
Chicken Salad,,5 oz portion,200,28,3,9,0,2025-11-19,0.14,7.142857142857143
Cajun Chicken Penne,,8 oz portion,660,31,79,25,2,2025-11-19,0.0469696969696969,21.29032258064516
Texas Style BBQ'd Brisket,,4 oz portion,320,32,0,20,0,2025-11-19,0.1,10.0
Buffalo Chicken Stromboli,,1 piece,1050,75,103,37,6,2025-11-19,0.0714285714285714,14.0
Veggie Power Bowl,N/A,1 plate,0,0,0,0,0,2025-11-19,0.0,0.0
Chimichurri Sauce,N/A,2 floz,170,0,3,18,0,2025-11-19,0.0,0.0
Julienne Yellow Onions,N/A,1/4 cup,10,0,3,0,1,2025-11-19,0.0,0.0
Sliced Mushrooms,N/A,1/4 cup,0,0,0,0,0,2025-11-19,0.0,0.0
Sliced Green Bell Pepper,N/A,1/4 cup,0,0,1,0,0,2025-11-19,0.0,0.0
Shredded Carrots,N/A,1/4 cup,10,0,3,0,1,2025-11-19,0.0,0.0
Baby Spinach,N/A,1/4 cup,0,0,0,0,0,2025-11-19,0.0,0.0
Fresh Thai Basil,N/A,1 tbsp,0,0,0,0,0,2025-11-19,0.0,0.0
Chopped Green Onions,N/A,1 tbsp,0,0,0,0,0,2025-11-19,0.0,0.0
Grated Ginger Root,N/A,1 tsp,0,0,0,0,0,2025-11-19,0.0,0.0
Fresh Chopped Garlic,N/A,1 tsp,0,0,0,0,0,2025-11-19,0.0,0.0
General Tso's Sauce,N/A,1 floz,60,0,16,0,14,2025-11-19,0.0,0.0
Sesame Seed Mix,N/A,1/2 tsp,10,0,0,1,0,2025-11-19,0.0,0.0
Crushed Red Pepper,N/A,1/2 tsp,0,0,0,0,0,2025-11-19,0.0,0.0
Grilled Zucchini & Squash,N/A,1/2 cup,10,0,2,0,2,2025-11-19,0.0,0.0
Lettuce Leaf,N/A,1 each,0,0,0,0,0,2025-11-19,0.0,0.0
Sliced Tomatoes,N/A,1 slice,0,0,0,0,0,2025-11-19,0.0,0.0
Sliced Red Onion,N/A,1/4 cup,10,0,3,0,1,2025-11-19,0.0,0.0
Dill Pickle Slices,N/A,4 each,0,0,0,0,0,2025-11-19,0.0,0.0
Dill Pickle Slices,N/A,2 each,0,0,0,0,0,2025-11-19,0.0,0.0
Lettuce Leaf,N/A,1 each,0,0,0,0,0,2025-11-19,0.0,0.0
Sliced Tomatoes,N/A,2 slice,0,0,1,0,0,2025-11-19,0.0,0.0
Sliced Red Onion,N/A,1 slice,5,0,1,0,0,2025-11-19,0.0,0.0
Sliced Banana Peppers,N/A,1 ounce,0,0,0,0,0,2025-11-19,0.0,0.0
Sliced Cucumber,N/A,1/4 cup,0,0,0,0,0,2025-11-19,0.0,0.0
Sliced Green Bell Pepper,N/A,1/4 cup,0,0,1,0,0,2025-11-19,0.0,0.0
Pesto Mayo,N/A,1 oz portion,180,0,0,20,0,2025-11-19,0.0,0.0
Horseradish Mayo,N/A,2 tbsp,110,0,3,11,0,2025-11-19,0.0,0.0
Diced Onions,N/A,1/4 cup,15,0,4,0,2,2025-11-19,0.0,0.0
Diced Tomatoes,N/A,1 ounce,5,0,1,0,0,2025-11-19,0.0,0.0
Red Pepper Sticks,N/A,1/2 cup,20,0,4,0,3,2025-11-19,0.0,0.0
Chopped Spinach,N/A,1/4 cup,0,0,0,0,0,2025-11-19,0.0,0.0
Grated Parmesan Cheese,N/A,1 tsp,10,0,0,0,0,2025-11-19,0.0,0.0
Crushed Red Pepper,N/A,1/8 tsp,0,0,0,0,0,2025-11-19,0.0,0.0
Dried Oregano,N/A,1 tsp,0,0,0,0,0,2025-11-19,0.0,0.0
Fresh Chopped Garlic,N/A,1 tbsp,15,0,3,0,0,2025-11-19,0.0,0.0
Chopped Romaine Lettuce,N/A,1 cup,10,0,2,0,0,2025-11-19,0.0,0.0
Baby Spinach,N/A,1/4 cup,0,0,0,0,0,2025-11-19,0.0,0.0
Shredded Carrots,N/A,1/4 cup,10,0,3,0,1,2025-11-19,0.0,0.0
Sliced Cucumber,N/A,1/4 cup,0,0,0,0,0,2025-11-19,0.0,0.0
Grape Tomatoes,N/A,1/4 cup,5,0,1,0,0,2025-11-19,0.0,0.0
Sliced Red Onion,N/A,1/4 cup,10,0,3,0,1,2025-11-19,0.0,0.0
Pickled Beets,N/A,1/2 cup,25,0,5,0,0,2025-11-19,0.0,0.0
Sliced Green Bell Pepper,N/A,1/4 cup,0,0,1,0,0,2025-11-19,0.0,0.0
Sliced Black Olives,N/A,1/4 cup,40,0,2,4,0,2025-11-19,0.0,0.0
Dried Cranberries,N/A,1 tbsp,30,0,8,0,7,2025-11-19,0.0,0.0
Homestyle Ranch Dressing,N/A,1 floz,100,0,0,11,0,2025-11-19,0.0,0.0
Balsamic Vinaigrette Dressing,N/A,1 floz,60,0,5,5,4,2025-11-19,0.0,0.0
Dijon Honey Dressing,N/A,1 floz,130,0,7,12,6,2025-11-19,0.0,0.0
French Dressing,N/A,1 floz,120,0,5,11,5,2025-11-19,0.0,0.0
Fat Free Italian Dressing,N/A,1 floz,15,0,3,0,2,2025-11-19,0.0,0.0
Olive Oil,N/A,1 floz,240,0,0,27,0,2025-11-19,0.0,0.0
Red Wine Vinegar,N/A,1 floz,5,0,0,0,0,2025-11-19,0.0,0.0
Crushed Red Pepper,N/A,1 tsp,5,0,1,0,0,2025-11-19,0.0,0.0
Dried Oregano,N/A,1 tsp,0,0,0,0,0,2025-11-19,0.0,0.0
Grated Parmesan Cheese,N/A,1 tsp,10,0,0,0,0,2025-11-19,0.0,0.0
Cubed Pineapple,N/A,1/4 cup,20,0,5,0,4,2025-11-19,0.0,0.0
Cubed Cantaloupe,N/A,1/4 cup,15,0,3,0,3,2025-11-19,0.0,0.0
Cubed Honeydew,N/A,1/4 cup,15,0,4,0,3,2025-11-19,0.0,0.0
Red Grapes,N/A,1/2 cup,50,0,14,0,12,2025-11-19,0.0,0.0
Cream Cheese,N/A,1 tbsp,50,0,0,5,0,2025-11-19,0.0,0.0
Strawberry Jelly Preserves,N/A,1 tbsp,50,0,13,0,12,2025-11-19,0.0,0.0
Grape Jelly,N/A,1 tbsp,50,0,13,0,12,2025-11-19,0.0,0.0
"Crackers, Saltine, 2 CT, Zesta",N/A,1 each,25,0,5,0,0,2025-11-19,0.0,0.0
Sweet and Sour Sauce,N/A,1 floz,40,1,8,0,7,2025-11-19,0.025,40.0
Gluten Free Soy Sauce,N/A,1 floz,20,1,4,0,2,2025-11-19,0.05,20.0
Tater Tots,N/A,1/2 cup,210,1,18,15,0,2025-11-19,0.004761904761904762,210.0
Classic Caesar Dressing,N/A,1 floz,150,1,0,16,0,2025-11-19,0.006666666666666667,150.0
Low-Fat Blueberry Yogurt,N/A,1/4 cup,35,1,7,0,5,2025-11-19,0.02857142857142857,35.0
Vegan Chocolate Chip Cookies,N/A,1 each,130,1,15,8,7,2025-11-19,0.007692307692307693,130.0
Blackened Sweet Potato,N/A,4 ounce,130,2,21,5,7,2025-11-19,0.015384615384615385,65.0
"Mushrooms, Tomatoes and Spinach",N/A,1/2 cup,50,2,5,0,2,2025-11-19,0.04,25.0
Mr. Bing Chili Crisp Spicy,N/A,1 tbsp,90,2,6,9,0,2025-11-19,0.022222222222222223,45.0
Pesto Alfredo Sauce,N/A,2 floz,120,2,3,11,2,2025-11-19,0.016666666666666666,60.0
Marinara Sauce,N/A,1 ladle-4oz,70,2,14,0,9,2025-11-19,0.02857142857142857,35.0
Shredded Cheddar Cheese,N/A,1 tbsp,30,2,0,0,0,2025-11-19,0.06666666666666667,15.0
Blanched Broccoli,N/A,1/2 cup,25,2,5,0,1,2025-11-19,0.08,12.5
Blanched Cauliflower,N/A,1/2 cup,25,2,5,0,2,2025-11-19,0.08,12.5
Cooked Red Quinoa,N/A,1/4 cup,60,2,10,1,0,2025-11-19,0.03333333333333333,30.0
Croutons,N/A,5 each,70,2,15,0,0,2025-11-19,0.02857142857142857,35.0
Roasted Sunflower Seeds,N/A,1 tbsp,45,2,2,4,0,2025-11-19,0.044444444444444446,22.5
strawberry cream cheese,N/A,2 tbsp,110,2,5,10,4,2025-11-19,0.01818181818181818,55.0
Chive Cream Cheese,N/A,1 ounce,90,2,2,9,1,2025-11-19,0.022222222222222223,45.0
Caramel Walnut Brownies,N/A,1 each,260,2,39,11,27,2025-11-19,0.007692307692307693,130.0
Oatmeal Raisin Cookie,N/A,1 each,180,2,26,7,13,2025-11-19,0.011111111111111112,90.0
Peach Cobbler,N/A,1/2 cup,310,2,51,12,37,2025-11-19,0.0064516129032258064,155.0
Cilantro Hummus,N/A,2 ounce,70,3,9,3,2,2025-11-19,0.04285714285714286,23.333333333333332
Jollof Rice,N/A,1/2 cup,280,3,31,16,0,2025-11-19,0.010714285714285714,93.33333333333333
Jasmine Rice,N/A,4 ounce,180,3,32,0,0,2025-11-19,0.016666666666666666,60.0
Sliced American Cheese,N/A,1/2 ounce,50,3,0,0,0,2025-11-19,0.06,16.666666666666668
Hummus,N/A,2 ounce,110,3,8,8,1,2025-11-19,0.02727272727272727,36.666666666666664
American Cheese Slice,N/A,1 slice,50,3,0,0,0,2025-11-19,0.06,16.666666666666668
Cheddar Cheese Slice,N/A,1 slice,60,3,0,0,0,2025-11-19,0.05,20.0
Whole Wheat Penne Pasta,N/A,1/2 cup,80,3,15,1,0,2025-11-19,0.0375,26.666666666666668
Southwest Tortilla Soup,N/A,8 floz,130,3,17,6,4,2025-11-19,0.023076923076923078,43.333333333333336
Dinner Roll,N/A,1 each,150,4,29,2,0,2025-11-19,0.02666666666666667,37.5
Rotini Pasta,N/A,1/2 cup,110,4,21,0,0,2025-11-19,0.03636363636363636,27.5
